model,load_8bit,prompt_mode,seed,dialect,correct_answer_prob,distractor_probs,generated_answer,chose_correct_answer,chose_correct_answer_num,generated_correct_answer,generated_correct_answer_num,transcript,correct_answer,distractors
mistralai/Mistral-7B-v0.1,True,no_answers,221,en_in,0.4644237756729126,"[0.21555256843566895, 0.03009488247334957, 0.1798190176486969, 0.08577249199151993, 0.02433719113469124]","---

I am going to give",True,1,False,0,"Speaker0: ok
Speaker1: ok
Speaker0: It is a
Speaker0: It is a subject
Speaker0: Ok let's start it's a subject
Speaker0: It has school studies
Speaker1: um
Speaker0: ok
Speaker0: and
Speaker0: what are the subjects we have
Speaker0: in the school?
Speaker1: uh we use to study 6 subjects
Speaker0: mainly mainly in the 10th class where you get into the
Speaker0: field of science ok
Speaker0: Sorry you get into the field of science
Speaker1: Social?
Speaker0: What what science in the field of science. What are the subjects in the field of science?
Speaker1: um
Speaker1: physics, physical science and natural science.
Speaker0: Ok
Speaker0: In that what are the important
Speaker0: items
Speaker0: like?
Speaker1: um
Speaker1: Are you talking about uh practical things practical manner I think uh
Speaker0: I'll expecting so
Speaker1: Ok atoms.
Speaker0: uh yeah in this in this similar way
Speaker1: um
Speaker0: we get
Speaker0: light from it
Speaker0: what it is?
Speaker0: It passes through wires
Speaker1: wire?",Electron,"['Atom', 'Particle', 'Molecule', 'Physics', 'Proton']"
mistralai/Mistral-7B-v0.1,True,no_answers,221,en_in,0.00010207612649537623,"[0.029729442670941353, 0.013868777081370354, 0.01917460933327675, 0.03616401553153992, 0.9009609818458557]","---

Transcript: ""Spe",False,0,False,0,"Speaker1: Did you use a pen uh which
Speaker1: which has a clicks,
Speaker1: clicking pen?
Speaker0: Yes.
Speaker1: Uh, so in the front part, there is
Speaker1: a refill and there is some
Speaker0: Ball pen?
Speaker1: No no, there is an item, with that it is",Spring,"['Summer', 'Season', 'Autumn', 'Flowers', 'Allergy']"
mistralai/Mistral-7B-v0.1,True,no_answers,221,en_in,0.9305486679077148,"[0.05545995756983757, 0.0040449765510857105, 0.004713517613708973, 0.002017057267948985, 0.003215853124856949]","---

I am going to give",True,1,False,0,"Speaker1: Ok.
Speaker1: He is a very famous personality
Speaker0: Ok.
Speaker1: and he is very
Speaker1: person I mean he is very muscular.
Speaker1: And he works for a UFC and WWE.
Speaker1: And
Speaker1: UFC and WW and
Speaker1: He was the former
Speaker0: Undertaker?
Speaker1: No, no, yeah exactly but if
Speaker0: John Cena?
Speaker1: No, another name he also fought with him. But he is very dangerous person.
Speaker0: Undertaker, John Cena and
Speaker1: There is, similar to John Cena, he will be similar to John Cena but very fat.
Speaker1: His moves is F5 German suplex.
Speaker0: Blub,  Black Lesnar?
Speaker1: Yeah, Ok.
Speaker1: What his name?
Speaker0: Black Lesnar?
Speaker1: No, no",Brock Lesnar,"['Wrestling', 'Huge', 'Beast', 'Muscles', 'Football']"
mistralai/Mistral-7B-v0.1,True,no_answers,221,en_in,0.43174177408218384,"[0.3788661062717438, 0.15446045994758606, 0.015507875010371208, 0.01942245475947857, 1.3482163012668025e-06]","---

Transcript: ""Spe",True,1,False,0,"Speaker0: Okay.
Speaker0: So,
Speaker0: did you see mummy movie?
Speaker1: Yes.
Speaker0: Yeah,
Speaker0: so where it, where it happened?
Speaker1: uh It happens in the um,
Speaker0: in which Country?
Speaker1: I n desert?
Speaker1: Is it?
Speaker0: So we have some shapes in it.",Pyramid,"['Egypt', 'Ancient', 'Giza', 'Triangular', 'Structure']"
mistralai/Mistral-7B-v0.1,True,no_answers,221,en_in,0.21727289259433746,"[0.18816156685352325, 0.1842438280582428, 0.2989441752433777, 0.027256116271018982, 0.0841214507818222]","---

Transcript: ""Spe",False,0,False,0,"Speaker0: So,
Speaker0: we usually
Speaker0: wear this things daily for our need.
Speaker1: I didn't get you
Speaker0: okay we will yes yes yes cloths cloths
Speaker1: ya but
Speaker1: with a",Clothing,"['Pants', 'Shirt', 'Fabric', 'Outfit', 'Dress']"
mistralai/Mistral-7B-v0.1,True,no_answers,221,en_in,0.0014444622211158276,"[0.0009152570273727179, 0.00010629056487232447, 0.9903998374938965, 0.002706048311665654, 0.004428074695169926]","---

I am going to give",False,0,False,0,"Speaker1: Ok, uh, when we uh,
Speaker1: When we see the picture
Speaker1: uh, we each and every uh,
Speaker1: every uh,
Speaker1: everything uh we will collect uh,
Speaker1: we say uh, we say it is uh, you have a, you have a camera, right?
Speaker0: Yes.
Speaker1: for you form, perform
Speaker1: uh, we have to mention the hmm, that's range in, in which word?",Pixel,"['Screen', 'Dot', 'Square', 'Color', 'Video']"
mistralai/Mistral-7B-v0.1,True,no_answers,221,en_in,0.4857294261455536,"[0.043073613196611404, 0.14350992441177368, 0.010784024372696877, 0.21981321275234222, 0.09708977490663528]","---

Transcript: ""Spe",True,1,False,0,"Speaker0: There
Speaker0: is a
Speaker0: there is a character in a movie
Speaker1: um
Speaker0: It's a very famous movie and it's a very
Speaker0: where is a where you can see famous dialogue called I am still gorgeous
Speaker1: uh
Speaker1: ok
Speaker1: uh
Speaker0: character name
Speaker1: not him
Speaker1: compare like Marvel movie
Speaker0: yeah
Speaker1: So
Speaker1: uh
Speaker0: very muscular body gives scientifically
Speaker0: injections
Speaker1: ok
Speaker0: His body will grow",Captain America,"['Movie', 'Fictional', 'Superhero', 'Comic Book', 'Marvel']"
mistralai/Mistral-7B-v0.1,True,no_answers,221,en_in,0.00029543539858423173,"[0.03232961148023605, 0.8583406209945679, 0.08092047274112701, 0.02112608216702938, 0.006987716071307659]","---

Transcript: ""Spe",False,0,False,0,"Speaker0: Oh, This a
Speaker0: What we call, Is a very expensive
Speaker0: thing, expensive thing where you
Speaker0: where you where you kind of girls wear.
Speaker1: We wear?
Speaker0: Ornament.",Gold,"['Silver', 'Diamond', 'Mineral', 'Yellow', 'Shiny']"
mistralai/Mistral-7B-v0.1,True,no_answers,221,en_in,0.009388179518282413,"[0.005915823858231306, 0.00012708977737929672, 0.9800453782081604, 0.0004362060863059014, 0.004087373614311218]","---

Transcript: ""Spe",False,0,False,0,"Speaker1: Here you can see what you can see camera on your phone right?
Speaker0: Yes
Speaker1: Ahh how many what we call that
Speaker1: 52 42 what is that call camera
Speaker0: Ahh",Pixel,"['Screen', 'Dot', 'Square', 'Color', 'Video']"
mistralai/Mistral-7B-v0.1,True,no_answers,221,en_in,0.002356781391426921,"[0.6969533562660217, 0.2821027636528015, 0.018541481345891953, 3.5692650271812454e-05, 9.839161975833122e-06]","---

Transcript: ""Spe",False,0,False,0,"Speaker0: Uhm.
Speaker1: as a word uh.
Speaker0: Okay.
Speaker1: Uh. This is the.
Speaker1: We call all the continents,
Speaker1: all the
Speaker1: What about, what it actually called all the continents and all animals, all this area.
Speaker0: Uh.
Speaker1: The whole thing is called?
Speaker0: Species and all. Live in one place?
Speaker1: Continents are working with geographical part.
Speaker0: Okay.
Speaker0: Uh
Speaker0: Earth
Speaker0: Earth.
Speaker1: Next one.",World,"['Earth', 'Globe', 'International', 'Region', 'People']"
