model,load_8bit,prompt_mode,seed,dialect,correct_answer_prob,distractor_probs,generated_answer,chose_correct_answer,chose_correct_answer_num,generated_correct_answer,generated_correct_answer_num,transcript,correct_answer,distractors,using_chat_template
HuggingFaceH4/mistral-7b-sft-beta,True,no_answers,221,en_in,0.4668726325035095,"[0.25499436259269714, 0.024660833179950714, 0.1555575132369995, 0.0838300809264183, 0.014084638096392155]",Atom.,True,1,False,0,"Speaker0: ok
Speaker1: ok
Speaker0: It is a
Speaker0: It is a subject
Speaker0: Ok let's start it's a subject
Speaker0: It has school studies
Speaker1: um
Speaker0: ok
Speaker0: and
Speaker0: what are the subjects we have
Speaker0: in the school?
Speaker1: uh we use to study 6 subjects
Speaker0: mainly mainly in the 10th class where you get into the
Speaker0: field of science ok
Speaker0: Sorry you get into the field of science
Speaker1: Social?
Speaker0: What what science in the field of science. What are the subjects in the field of science?
Speaker1: um
Speaker1: physics, physical science and natural science.
Speaker0: Ok
Speaker0: In that what are the important
Speaker0: items
Speaker0: like?
Speaker1: um
Speaker1: Are you talking about uh practical things practical manner I think uh
Speaker0: I'll expecting so
Speaker1: Ok atoms.
Speaker0: uh yeah in this in this similar way
Speaker1: um
Speaker0: we get
Speaker0: light from it
Speaker0: what it is?
Speaker0: It passes through wires
Speaker1: wire?",Electron,"['Atom', 'Particle', 'Molecule', 'Physics', 'Proton']",False
HuggingFaceH4/mistral-7b-sft-beta,True,no_answers,221,en_in,3.241949525545351e-05,"[0.04636950418353081, 0.014243957586586475, 0.023463115096092224, 0.034980881959199905, 0.8809100985527039]",Ball pen.,False,0,False,0,"Speaker1: Did you use a pen uh which
Speaker1: which has a clicks,
Speaker1: clicking pen?
Speaker0: Yes.
Speaker1: Uh, so in the front part, there is
Speaker1: a refill and there is some
Speaker0: Ball pen?
Speaker1: No no, there is an item, with that it is",Spring,"['Summer', 'Season', 'Autumn', 'Flowers', 'Allergy']",False
HuggingFaceH4/mistral-7b-sft-beta,True,no_answers,221,en_in,0.9154222011566162,"[0.06993400305509567, 0.0018392615020275116, 0.006337354891002178, 0.00242840894497931, 0.004038628656417131]",Lesnar.,True,1,False,0,"Speaker1: Ok.
Speaker1: He is a very famous personality
Speaker0: Ok.
Speaker1: and he is very
Speaker1: person I mean he is very muscular.
Speaker1: And he works for a UFC and WWE.
Speaker1: And
Speaker1: UFC and WW and
Speaker1: He was the former
Speaker0: Undertaker?
Speaker1: No, no, yeah exactly but if
Speaker0: John Cena?
Speaker1: No, another name he also fought with him. But he is very dangerous person.
Speaker0: Undertaker, John Cena and
Speaker1: There is, similar to John Cena, he will be similar to John Cena but very fat.
Speaker1: His moves is F5 German suplex.
Speaker0: Blub,  Black Lesnar?
Speaker1: Yeah, Ok.
Speaker1: What his name?
Speaker0: Black Lesnar?
Speaker1: No, no",Brock Lesnar,"['Wrestling', 'Huge', 'Beast', 'Muscles', 'Football']",False
HuggingFaceH4/mistral-7b-sft-beta,True,no_answers,221,en_in,0.5487563610076904,"[0.2684706151485443, 0.16600660979747772, 0.009995284490287304, 0.006770844105631113, 2.999583159635222e-07]",Pyramid.,True,1,True,1,"Speaker0: Okay.
Speaker0: So,
Speaker0: did you see mummy movie?
Speaker1: Yes.
Speaker0: Yeah,
Speaker0: so where it, where it happened?
Speaker1: uh It happens in the um,
Speaker0: in which Country?
Speaker1: I n desert?
Speaker1: Is it?
Speaker0: So we have some shapes in it.",Pyramid,"['Egypt', 'Ancient', 'Giza', 'Triangular', 'Structure']",False
HuggingFaceH4/mistral-7b-sft-beta,True,no_answers,221,en_in,0.24126729369163513,"[0.2255592942237854, 0.16406354308128357, 0.28665369749069214, 0.01985105499625206, 0.0626051053404808]",Clothes.,False,0,False,0,"Speaker0: So,
Speaker0: we usually
Speaker0: wear this things daily for our need.
Speaker1: I didn't get you
Speaker0: okay we will yes yes yes cloths cloths
Speaker1: ya but
Speaker1: with a",Clothing,"['Pants', 'Shirt', 'Fabric', 'Outfit', 'Dress']",False
HuggingFaceH4/mistral-7b-sft-beta,True,no_answers,221,en_in,0.0013114020694047213,"[9.213732846546918e-05, 3.704113623825833e-05, 0.9959096312522888, 0.001525097992271185, 0.0011246439535170794]","Camera

---

Transcript: """,False,0,False,0,"Speaker1: Ok, uh, when we uh,
Speaker1: When we see the picture
Speaker1: uh, we each and every uh,
Speaker1: every uh,
Speaker1: everything uh we will collect uh,
Speaker1: we say uh, we say it is uh, you have a, you have a camera, right?
Speaker0: Yes.
Speaker1: for you form, perform
Speaker1: uh, we have to mention the hmm, that's range in, in which word?",Pixel,"['Screen', 'Dot', 'Square', 'Color', 'Video']",False
HuggingFaceH4/mistral-7b-sft-beta,True,no_answers,221,en_in,0.4755181074142456,"[0.04376070573925972, 0.14400799572467804, 0.024419598281383514, 0.2407912164926529, 0.07150237262248993]",Arnold Schwarzenegger.,True,1,False,0,"Speaker0: There
Speaker0: is a
Speaker0: there is a character in a movie
Speaker1: um
Speaker0: It's a very famous movie and it's a very
Speaker0: where is a where you can see famous dialogue called I am still gorgeous
Speaker1: uh
Speaker1: ok
Speaker1: uh
Speaker0: character name
Speaker1: not him
Speaker1: compare like Marvel movie
Speaker0: yeah
Speaker1: So
Speaker1: uh
Speaker0: very muscular body gives scientifically
Speaker0: injections
Speaker1: ok
Speaker0: His body will grow",Captain America,"['Movie', 'Fictional', 'Superhero', 'Comic Book', 'Marvel']",False
HuggingFaceH4/mistral-7b-sft-beta,True,no_answers,221,en_in,0.00011530989286256954,"[0.025114281103014946, 0.8934271335601807, 0.057731401175260544, 0.018793823197484016, 0.0048180390149354935]","---

Transcript: ""Spe",False,0,False,0,"Speaker0: Oh, This a
Speaker0: What we call, Is a very expensive
Speaker0: thing, expensive thing where you
Speaker0: where you where you kind of girls wear.
Speaker1: We wear?
Speaker0: Ornament.",Gold,"['Silver', 'Diamond', 'Mineral', 'Yellow', 'Shiny']",False
HuggingFaceH4/mistral-7b-sft-beta,True,no_answers,221,en_in,0.0029071655590087175,"[0.002871512668207288, 2.4241586288553663e-05, 0.9921332001686096, 0.00010888679389609024, 0.0019550423603504896]","Camera

---

Transcript: """,False,0,False,0,"Speaker1: Here you can see what you can see camera on your phone right?
Speaker0: Yes
Speaker1: Ahh how many what we call that
Speaker1: 52 42 what is that call camera
Speaker0: Ahh",Pixel,"['Screen', 'Dot', 'Square', 'Color', 'Video']",False
HuggingFaceH4/mistral-7b-sft-beta,True,no_answers,221,en_in,0.002069204580038786,"[0.5845060348510742, 0.3833081126213074, 0.03003813698887825, 6.911537639098242e-05, 9.394550943397917e-06]",Earth.,False,0,False,0,"Speaker0: Uhm.
Speaker1: as a word uh.
Speaker0: Okay.
Speaker1: Uh. This is the.
Speaker1: We call all the continents,
Speaker1: all the
Speaker1: What about, what it actually called all the continents and all animals, all this area.
Speaker0: Uh.
Speaker1: The whole thing is called?
Speaker0: Species and all. Live in one place?
Speaker1: Continents are working with geographical part.
Speaker0: Okay.
Speaker0: Uh
Speaker0: Earth
Speaker0: Earth.
Speaker1: Next one.",World,"['Earth', 'Globe', 'International', 'Region', 'People']",False
