model,load_8bit,prompt_mode,seed,dialect,correct_answer_prob,distractor_probs,generated_answer,chose_correct_answer,chose_correct_answer_num,generated_correct_answer,generated_correct_answer_num,transcript,correct_answer,distractors,using_chat_template
Qwen/Qwen1.5-7B,True,no_answers,221,en_in,0.08291865140199661,"[0.0003754013159777969, 2.718365976761561e-05, 0.9051099419593811, 0.004967265762388706, 0.006601571571081877]","""light""

---

Transcript: ""Speaker0",False,0,False,0,"Speaker0: ok
Speaker1: ok
Speaker0: It is a
Speaker0: It is a subject
Speaker0: Ok let's start it's a subject
Speaker0: It has school studies
Speaker1: um
Speaker0: ok
Speaker0: and
Speaker0: what are the subjects we have
Speaker0: in the school?
Speaker1: uh we use to study 6 subjects
Speaker0: mainly mainly in the 10th class where you get into the
Speaker0: field of science ok
Speaker0: Sorry you get into the field of science
Speaker1: Social?
Speaker0: What what science in the field of science. What are the subjects in the field of science?
Speaker1: um
Speaker1: physics, physical science and natural science.
Speaker0: Ok
Speaker0: In that what are the important
Speaker0: items
Speaker0: like?
Speaker1: um
Speaker1: Are you talking about uh practical things practical manner I think uh
Speaker0: I'll expecting so
Speaker1: Ok atoms.
Speaker0: uh yeah in this in this similar way
Speaker1: um
Speaker0: we get
Speaker0: light from it
Speaker0: what it is?
Speaker0: It passes through wires
Speaker1: wire?",Electron,"['Atom', 'Particle', 'Molecule', 'Physics', 'Proton']",False
Qwen/Qwen1.5-7B,True,no_answers,221,en_in,0.00016378561849705875,"[1.6045045413193293e-05, 2.5235469365725294e-05, 0.16729092597961426, 0.5037503242492676, 0.32875362038612366]","pen

---

Transcript: ""Speaker1:",False,0,False,0,"Speaker1: Did you use a pen uh which
Speaker1: which has a clicks,
Speaker1: clicking pen?
Speaker0: Yes.
Speaker1: Uh, so in the front part, there is
Speaker1: a refill and there is some
Speaker0: Ball pen?
Speaker1: No no, there is an item, with that it is",Spring,"['Summer', 'Season', 'Autumn', 'Flowers', 'Allergy']",False
Qwen/Qwen1.5-7B,True,no_answers,221,en_in,0.994914710521698,"[0.004614187404513359, 0.00022777580306865275, 0.00017913553165271878, 6.388925248757005e-05, 2.60183071532083e-07]","Lesnar

---

Transcript: ""Speaker1",True,1,False,0,"Speaker1: Ok.
Speaker1: He is a very famous personality
Speaker0: Ok.
Speaker1: and he is very
Speaker1: person I mean he is very muscular.
Speaker1: And he works for a UFC and WWE.
Speaker1: And
Speaker1: UFC and WW and
Speaker1: He was the former
Speaker0: Undertaker?
Speaker1: No, no, yeah exactly but if
Speaker0: John Cena?
Speaker1: No, another name he also fought with him. But he is very dangerous person.
Speaker0: Undertaker, John Cena and
Speaker1: There is, similar to John Cena, he will be similar to John Cena but very fat.
Speaker1: His moves is F5 German suplex.
Speaker0: Blub,  Black Lesnar?
Speaker1: Yeah, Ok.
Speaker1: What his name?
Speaker0: Black Lesnar?
Speaker1: No, no",Brock Lesnar,"['Wrestling', 'Huge', 'Beast', 'Muscles', 'Football']",False
Qwen/Qwen1.5-7B,True,no_answers,221,en_in,0.0010643311543390155,"[0.917064368724823, 0.08083721995353699, 0.0009444751194678247, 8.949852781370282e-05, 6.767054827605534e-08]","desert

---

Transcript: ""Speaker0:",False,0,False,0,"Speaker0: Okay.
Speaker0: So,
Speaker0: did you see mummy movie?
Speaker1: Yes.
Speaker0: Yeah,
Speaker0: so where it, where it happened?
Speaker1: uh It happens in the um,
Speaker0: in which Country?
Speaker1: I n desert?
Speaker1: Is it?
Speaker0: So we have some shapes in it.",Pyramid,"['Egypt', 'Ancient', 'Giza', 'Triangular', 'Structure']",False
Qwen/Qwen1.5-7B,True,no_answers,221,en_in,0.026490123942494392,"[0.2873815894126892, 0.00395960733294487, 0.22487114369869232, 0.0022844767663627863, 0.4550129771232605]","clothes

---

Transcript: ""Speaker0:",False,0,False,0,"Speaker0: So,
Speaker0: we usually
Speaker0: wear this things daily for our need.
Speaker1: I didn't get you
Speaker0: okay we will yes yes yes cloths cloths
Speaker1: ya but
Speaker1: with a",Clothing,"['Pants', 'Shirt', 'Fabric', 'Outfit', 'Dress']",False
Qwen/Qwen1.5-7B,True,no_answers,221,en_in,0.24379807710647583,"[0.06999228894710541, 0.003346295328810811, 0.010907812044024467, 0.19028379023075104, 0.4816717505455017]","camera

---

Transcript: ""Speaker1:",False,0,False,0,"Speaker1: Ok, uh, when we uh,
Speaker1: When we see the picture
Speaker1: uh, we each and every uh,
Speaker1: every uh,
Speaker1: everything uh we will collect uh,
Speaker1: we say uh, we say it is uh, you have a, you have a camera, right?
Speaker0: Yes.
Speaker1: for you form, perform
Speaker1: uh, we have to mention the hmm, that's range in, in which word?",Pixel,"['Screen', 'Dot', 'Square', 'Color', 'Video']",False
Qwen/Qwen1.5-7B,True,no_answers,221,en_in,0.0016765677137300372,"[1.0268609912600368e-05, 0.961179256439209, 0.03544553369283676, 0.0013041304191574454, 0.00038426253013312817]","injections

---

Transcript: ""Speaker0:",False,0,False,0,"Speaker0: There
Speaker0: is a
Speaker0: there is a character in a movie
Speaker1: um
Speaker0: It's a very famous movie and it's a very
Speaker0: where is a where you can see famous dialogue called I am still gorgeous
Speaker1: uh
Speaker1: ok
Speaker1: uh
Speaker0: character name
Speaker1: not him
Speaker1: compare like Marvel movie
Speaker0: yeah
Speaker1: So
Speaker1: uh
Speaker0: very muscular body gives scientifically
Speaker0: injections
Speaker1: ok
Speaker0: His body will grow",Captain America,"['Movie', 'Fictional', 'Superhero', 'Comic Book', 'Marvel']",False
Qwen/Qwen1.5-7B,True,no_answers,221,en_in,7.929542334750295e-06,"[5.464573860081146e-07, 0.9992590546607971, 0.0003287166473455727, 1.3688364219888172e-07, 0.00040365991299040616]","""jewelry""

---

Transcript: """,False,0,False,0,"Speaker0: Oh, This a
Speaker0: What we call, Is a very expensive
Speaker0: thing, expensive thing where you
Speaker0: where you where you kind of girls wear.
Speaker1: We wear?
Speaker0: Ornament.",Gold,"['Silver', 'Diamond', 'Mineral', 'Yellow', 'Shiny']",False
Qwen/Qwen1.5-7B,True,no_answers,221,en_in,0.23121413588523865,"[0.26314809918403625, 0.001740455743856728, 0.00792989507317543, 0.07329721003770828, 0.4226701259613037]","camera

---

Transcript: ""Speaker1:",False,0,False,0,"Speaker1: Here you can see what you can see camera on your phone right?
Speaker0: Yes
Speaker1: Ahh how many what we call that
Speaker1: 52 42 what is that call camera
Speaker0: Ahh",Pixel,"['Screen', 'Dot', 'Square', 'Color', 'Video']",False
Qwen/Qwen1.5-7B,True,no_answers,221,en_in,0.00187182507943362,"[0.5095318555831909, 0.48824310302734375, 9.892854723148048e-05, 0.00014413167082238942, 0.00011025315325241536]","earth

---

Transcript: ""Speaker0:",False,0,False,0,"Speaker0: Uhm.
Speaker1: as a word uh.
Speaker0: Okay.
Speaker1: Uh. This is the.
Speaker1: We call all the continents,
Speaker1: all the
Speaker1: What about, what it actually called all the continents and all animals, all this area.
Speaker0: Uh.
Speaker1: The whole thing is called?
Speaker0: Species and all. Live in one place?
Speaker1: Continents are working with geographical part.
Speaker0: Okay.
Speaker0: Uh
Speaker0: Earth
Speaker0: Earth.
Speaker1: Next one.",World,"['Earth', 'Globe', 'International', 'Region', 'People']",False
