model,load_8bit,prompt_mode,seed,dialect,correct_answer_prob,distractor_probs,generated_answer,chose_correct_answer,chose_correct_answer_num,generated_correct_answer,generated_correct_answer_num,transcript,correct_answer,distractors
berkeley-nest/Starling-LM-7B-alpha,True,no_answers,221,en_in,0.3762202560901642,"[0.3669961094856262, 0.024964086711406708, 0.1394532471895218, 0.0865282192826271, 0.005838099401444197]","Light

---

In this transcript",True,1,False,0,"Speaker0: ok
Speaker1: ok
Speaker0: It is a
Speaker0: It is a subject
Speaker0: Ok let's start it's a subject
Speaker0: It has school studies
Speaker1: um
Speaker0: ok
Speaker0: and
Speaker0: what are the subjects we have
Speaker0: in the school?
Speaker1: uh we use to study 6 subjects
Speaker0: mainly mainly in the 10th class where you get into the
Speaker0: field of science ok
Speaker0: Sorry you get into the field of science
Speaker1: Social?
Speaker0: What what science in the field of science. What are the subjects in the field of science?
Speaker1: um
Speaker1: physics, physical science and natural science.
Speaker0: Ok
Speaker0: In that what are the important
Speaker0: items
Speaker0: like?
Speaker1: um
Speaker1: Are you talking about uh practical things practical manner I think uh
Speaker0: I'll expecting so
Speaker1: Ok atoms.
Speaker0: uh yeah in this in this similar way
Speaker1: um
Speaker0: we get
Speaker0: light from it
Speaker0: what it is?
Speaker0: It passes through wires
Speaker1: wire?",Electron,"['Atom', 'Particle', 'Molecule', 'Physics', 'Proton']"
berkeley-nest/Starling-LM-7B-alpha,True,no_answers,221,en_in,1.760016857588198e-05,"[0.001936785294674337, 0.004020716529339552, 0.005235747434198856, 0.016635490581393242, 0.9721536636352539]","Ballpoint pen

---

In this",False,0,False,0,"Speaker1: Did you use a pen uh which
Speaker1: which has a clicks,
Speaker1: clicking pen?
Speaker0: Yes.
Speaker1: Uh, so in the front part, there is
Speaker1: a refill and there is some
Speaker0: Ball pen?
Speaker1: No no, there is an item, with that it is",Spring,"['Summer', 'Season', 'Autumn', 'Flowers', 'Allergy']"
berkeley-nest/Starling-LM-7B-alpha,True,no_answers,221,en_in,0.9805489778518677,"[0.01553505938500166, 0.0007688592886552215, 0.0017787504475563765, 0.00035580946132540703, 0.0010124900145456195]","Brock Lesnar

---

In",True,1,True,1,"Speaker1: Ok.
Speaker1: He is a very famous personality
Speaker0: Ok.
Speaker1: and he is very
Speaker1: person I mean he is very muscular.
Speaker1: And he works for a UFC and WWE.
Speaker1: And
Speaker1: UFC and WW and
Speaker1: He was the former
Speaker0: Undertaker?
Speaker1: No, no, yeah exactly but if
Speaker0: John Cena?
Speaker1: No, another name he also fought with him. But he is very dangerous person.
Speaker0: Undertaker, John Cena and
Speaker1: There is, similar to John Cena, he will be similar to John Cena but very fat.
Speaker1: His moves is F5 German suplex.
Speaker0: Blub,  Black Lesnar?
Speaker1: Yeah, Ok.
Speaker1: What his name?
Speaker0: Black Lesnar?
Speaker1: No, no",Brock Lesnar,"['Wrestling', 'Huge', 'Beast', 'Muscles', 'Football']"
berkeley-nest/Starling-LM-7B-alpha,True,no_answers,221,en_in,0.5004667639732361,"[0.36674970388412476, 0.11913877725601196, 0.009484387002885342, 0.004158234689384699, 2.110231662300066e-06]","Sahara

---

In this",True,1,False,0,"Speaker0: Okay.
Speaker0: So,
Speaker0: did you see mummy movie?
Speaker1: Yes.
Speaker0: Yeah,
Speaker0: so where it, where it happened?
Speaker1: uh It happens in the um,
Speaker0: in which Country?
Speaker1: I n desert?
Speaker1: Is it?
Speaker0: So we have some shapes in it.",Pyramid,"['Egypt', 'Ancient', 'Giza', 'Triangular', 'Structure']"
berkeley-nest/Starling-LM-7B-alpha,True,no_answers,221,en_in,0.3264552354812622,"[0.21767055988311768, 0.15126647055149078, 0.22656498849391937, 0.027671147137880325, 0.05037161707878113]","underwear

---

Transcript:",True,1,False,0,"Speaker0: So,
Speaker0: we usually
Speaker0: wear this things daily for our need.
Speaker1: I didn't get you
Speaker0: okay we will yes yes yes cloths cloths
Speaker1: ya but
Speaker1: with a",Clothing,"['Pants', 'Shirt', 'Fabric', 'Outfit', 'Dress']"
berkeley-nest/Starling-LM-7B-alpha,True,no_answers,221,en_in,0.003175686113536358,"[0.00041964874253608286, 0.00023904388945084065, 0.9910434484481812, 0.002991856774315238, 0.0021303007379174232]","camera

---

In this transcript",False,0,False,0,"Speaker1: Ok, uh, when we uh,
Speaker1: When we see the picture
Speaker1: uh, we each and every uh,
Speaker1: every uh,
Speaker1: everything uh we will collect uh,
Speaker1: we say uh, we say it is uh, you have a, you have a camera, right?
Speaker0: Yes.
Speaker1: for you form, perform
Speaker1: uh, we have to mention the hmm, that's range in, in which word?",Pixel,"['Screen', 'Dot', 'Square', 'Color', 'Video']"
berkeley-nest/Starling-LM-7B-alpha,True,no_answers,221,en_in,0.631091833114624,"[0.03300854563713074, 0.11923499405384064, 0.0019444614881649613, 0.17179132997989655, 0.0429287925362587]","The Incredible Hulk

---",True,1,False,0,"Speaker0: There
Speaker0: is a
Speaker0: there is a character in a movie
Speaker1: um
Speaker0: It's a very famous movie and it's a very
Speaker0: where is a where you can see famous dialogue called I am still gorgeous
Speaker1: uh
Speaker1: ok
Speaker1: uh
Speaker0: character name
Speaker1: not him
Speaker1: compare like Marvel movie
Speaker0: yeah
Speaker1: So
Speaker1: uh
Speaker0: very muscular body gives scientifically
Speaker0: injections
Speaker1: ok
Speaker0: His body will grow",Captain America,"['Movie', 'Fictional', 'Superhero', 'Comic Book', 'Marvel']"
berkeley-nest/Starling-LM-7B-alpha,True,no_answers,221,en_in,0.0002538589178584516,"[0.023417266085743904, 0.8936558365821838, 0.058132775127887726, 0.023904284462332726, 0.0006361170089803636]","Jewelry

---

In this",False,0,False,0,"Speaker0: Oh, This a
Speaker0: What we call, Is a very expensive
Speaker0: thing, expensive thing where you
Speaker0: where you where you kind of girls wear.
Speaker1: We wear?
Speaker0: Ornament.",Gold,"['Silver', 'Diamond', 'Mineral', 'Yellow', 'Shiny']"
berkeley-nest/Starling-LM-7B-alpha,True,no_answers,221,en_in,0.18205806612968445,"[0.0034338224213570356, 0.0001977594947675243, 0.8122197985649109, 0.0001863108336692676, 0.0019042781786993146]","Megapixels

---

In this",False,0,True,1,"Speaker1: Here you can see what you can see camera on your phone right?
Speaker0: Yes
Speaker1: Ahh how many what we call that
Speaker1: 52 42 what is that call camera
Speaker0: Ahh",Pixel,"['Screen', 'Dot', 'Square', 'Color', 'Video']"
berkeley-nest/Starling-LM-7B-alpha,True,no_answers,221,en_in,0.0005603879108093679,"[0.7151000499725342, 0.2729339599609375, 0.01139470562338829, 9.838257028604858e-06, 1.040143729369447e-06]","Earth

---

In this transcript",False,0,False,0,"Speaker0: Uhm.
Speaker1: as a word uh.
Speaker0: Okay.
Speaker1: Uh. This is the.
Speaker1: We call all the continents,
Speaker1: all the
Speaker1: What about, what it actually called all the continents and all animals, all this area.
Speaker0: Uh.
Speaker1: The whole thing is called?
Speaker0: Species and all. Live in one place?
Speaker1: Continents are working with geographical part.
Speaker0: Okay.
Speaker0: Uh
Speaker0: Earth
Speaker0: Earth.
Speaker1: Next one.",World,"['Earth', 'Globe', 'International', 'Region', 'People']"
