model,load_8bit,prompt_mode,seed,dialect,correct_answer_prob,distractor_probs,generated_answer,chose_correct_answer,chose_correct_answer_num,generated_correct_answer,generated_correct_answer_num,transcript,correct_answer,distractors
HuggingFaceH4/zephyr-7b-beta,True,no_answers,221,en_in,0.525515079498291,"[0.39327630400657654, 0.006624728441238403, 0.056509263813495636, 0.013839720748364925, 0.004234944470226765]",Electronics.,True,1,True,1,"Speaker0: ok
Speaker1: ok
Speaker0: It is a
Speaker0: It is a subject
Speaker0: Ok let's start it's a subject
Speaker0: It has school studies
Speaker1: um
Speaker0: ok
Speaker0: and
Speaker0: what are the subjects we have
Speaker0: in the school?
Speaker1: uh we use to study 6 subjects
Speaker0: mainly mainly in the 10th class where you get into the
Speaker0: field of science ok
Speaker0: Sorry you get into the field of science
Speaker1: Social?
Speaker0: What what science in the field of science. What are the subjects in the field of science?
Speaker1: um
Speaker1: physics, physical science and natural science.
Speaker0: Ok
Speaker0: In that what are the important
Speaker0: items
Speaker0: like?
Speaker1: um
Speaker1: Are you talking about uh practical things practical manner I think uh
Speaker0: I'll expecting so
Speaker1: Ok atoms.
Speaker0: uh yeah in this in this similar way
Speaker1: um
Speaker0: we get
Speaker0: light from it
Speaker0: what it is?
Speaker0: It passes through wires
Speaker1: wire?",Electron,"['Atom', 'Particle', 'Molecule', 'Physics', 'Proton']"
HuggingFaceH4/zephyr-7b-beta,True,no_answers,221,en_in,1.2914568287669681e-05,"[0.0018101086607202888, 0.0038430453278124332, 0.00963014829903841, 0.00507488613948226, 0.9796289801597595]","BIC PEN

---

Trans",False,0,False,0,"Speaker1: Did you use a pen uh which
Speaker1: which has a clicks,
Speaker1: clicking pen?
Speaker0: Yes.
Speaker1: Uh, so in the front part, there is
Speaker1: a refill and there is some
Speaker0: Ball pen?
Speaker1: No no, there is an item, with that it is",Spring,"['Summer', 'Season', 'Autumn', 'Flowers', 'Allergy']"
HuggingFaceH4/zephyr-7b-beta,True,no_answers,221,en_in,0.9949066042900085,"[0.0015274861361831427, 9.47896478464827e-05, 0.0024949810467660427, 0.0001450295967515558, 0.0008311723358929157]","Brock Lesnar

---

Trans",True,1,True,1,"Speaker1: Ok.
Speaker1: He is a very famous personality
Speaker0: Ok.
Speaker1: and he is very
Speaker1: person I mean he is very muscular.
Speaker1: And he works for a UFC and WWE.
Speaker1: And
Speaker1: UFC and WW and
Speaker1: He was the former
Speaker0: Undertaker?
Speaker1: No, no, yeah exactly but if
Speaker0: John Cena?
Speaker1: No, another name he also fought with him. But he is very dangerous person.
Speaker0: Undertaker, John Cena and
Speaker1: There is, similar to John Cena, he will be similar to John Cena but very fat.
Speaker1: His moves is F5 German suplex.
Speaker0: Blub,  Black Lesnar?
Speaker1: Yeah, Ok.
Speaker1: What his name?
Speaker0: Black Lesnar?
Speaker1: No, no",Brock Lesnar,"['Wrestling', 'Huge', 'Beast', 'Muscles', 'Football']"
HuggingFaceH4/zephyr-7b-beta,True,no_answers,221,en_in,0.89812171459198,"[0.056094493716955185, 0.04450125992298126, 0.001103801536373794, 0.00017870809824671596, 1.1607970584748273e-08]","Pyramid.

---

Trans",True,1,True,1,"Speaker0: Okay.
Speaker0: So,
Speaker0: did you see mummy movie?
Speaker1: Yes.
Speaker0: Yeah,
Speaker0: so where it, where it happened?
Speaker1: uh It happens in the um,
Speaker0: in which Country?
Speaker1: I n desert?
Speaker1: Is it?
Speaker0: So we have some shapes in it.",Pyramid,"['Egypt', 'Ancient', 'Giza', 'Triangular', 'Structure']"
HuggingFaceH4/zephyr-7b-beta,True,no_answers,221,en_in,0.48741185665130615,"[0.3449298143386841, 0.02135988138616085, 0.12954047322273254, 0.009707504883408546, 0.0070504555478692055]","Underwear

---

Transcript:",True,1,False,0,"Speaker0: So,
Speaker0: we usually
Speaker0: wear this things daily for our need.
Speaker1: I didn't get you
Speaker0: okay we will yes yes yes cloths cloths
Speaker1: ya but
Speaker1: with a",Clothing,"['Pants', 'Shirt', 'Fabric', 'Outfit', 'Dress']"
HuggingFaceH4/zephyr-7b-beta,True,no_answers,221,en_in,0.006900216452777386,"[0.00016110714932437986, 8.118950790958479e-05, 0.9889789819717407, 0.0028312113136053085, 0.0010472716530784965]","Camera

---

Transcript: """,False,0,False,0,"Speaker1: Ok, uh, when we uh,
Speaker1: When we see the picture
Speaker1: uh, we each and every uh,
Speaker1: every uh,
Speaker1: everything uh we will collect uh,
Speaker1: we say uh, we say it is uh, you have a, you have a camera, right?
Speaker0: Yes.
Speaker1: for you form, perform
Speaker1: uh, we have to mention the hmm, that's range in, in which word?",Pixel,"['Screen', 'Dot', 'Square', 'Color', 'Video']"
HuggingFaceH4/zephyr-7b-beta,True,no_answers,221,en_in,0.593635618686676,"[0.010697843506932259, 0.14515112340450287, 0.003799762111157179, 0.2397633194923401, 0.006952435709536076]","Arnold Schwarzenegger

---",True,1,False,0,"Speaker0: There
Speaker0: is a
Speaker0: there is a character in a movie
Speaker1: um
Speaker0: It's a very famous movie and it's a very
Speaker0: where is a where you can see famous dialogue called I am still gorgeous
Speaker1: uh
Speaker1: ok
Speaker1: uh
Speaker0: character name
Speaker1: not him
Speaker1: compare like Marvel movie
Speaker0: yeah
Speaker1: So
Speaker1: uh
Speaker0: very muscular body gives scientifically
Speaker0: injections
Speaker1: ok
Speaker0: His body will grow",Captain America,"['Movie', 'Fictional', 'Superhero', 'Comic Book', 'Marvel']"
HuggingFaceH4/zephyr-7b-beta,True,no_answers,221,en_in,2.3496510038967244e-05,"[0.004746072925627232, 0.8493276834487915, 0.13086125254631042, 0.010972490534186363, 0.004069039132446051]","Bikini.

---

Trans",False,0,False,0,"Speaker0: Oh, This a
Speaker0: What we call, Is a very expensive
Speaker0: thing, expensive thing where you
Speaker0: where you where you kind of girls wear.
Speaker1: We wear?
Speaker0: Ornament.",Gold,"['Silver', 'Diamond', 'Mineral', 'Yellow', 'Shiny']"
HuggingFaceH4/zephyr-7b-beta,True,no_answers,221,en_in,0.02091788500547409,"[0.07346675544977188, 8.85692315932829e-06, 0.90486079454422, 6.31638613413088e-05, 0.0006825556047260761]","Selfie

---

Transcript:",False,0,False,0,"Speaker1: Here you can see what you can see camera on your phone right?
Speaker0: Yes
Speaker1: Ahh how many what we call that
Speaker1: 52 42 what is that call camera
Speaker0: Ahh",Pixel,"['Screen', 'Dot', 'Square', 'Color', 'Video']"
HuggingFaceH4/zephyr-7b-beta,True,no_answers,221,en_in,0.0004724051395896822,"[0.584399402141571, 0.40654799342155457, 0.008572710677981377, 6.981009391893167e-06, 5.200008104111475e-07]","Continental Drift

---

Trans",False,0,False,0,"Speaker0: Uhm.
Speaker1: as a word uh.
Speaker0: Okay.
Speaker1: Uh. This is the.
Speaker1: We call all the continents,
Speaker1: all the
Speaker1: What about, what it actually called all the continents and all animals, all this area.
Speaker0: Uh.
Speaker1: The whole thing is called?
Speaker0: Species and all. Live in one place?
Speaker1: Continents are working with geographical part.
Speaker0: Okay.
Speaker0: Uh
Speaker0: Earth
Speaker0: Earth.
Speaker1: Next one.",World,"['Earth', 'Globe', 'International', 'Region', 'People']"
