agreed_lang_text,proportion
en,0.9989982416161793
Spanish,0.0005998225182685671
French,0.00024581767586577123
German,4.4507378638649385e-05
Italian,2.2596053770391228e-05
Hindi,1.8487680357592822e-05
Portuguese,1.574876474906055e-05
Arabic,1.3009849140528281e-05
Russian,8.901475727729877e-06
Japanese,6.162560119197608e-06
Dutch,4.108373412798405e-06
Tagalog,4.108373412798405e-06
Korean,2.73891560853227e-06
Danish,2.73891560853227e-06
Indonesian,2.0541867063992024e-06
Polish,1.369457804266135e-06
Catalan,1.369457804266135e-06
Swedish,1.369457804266135e-06
Telugu,1.369457804266135e-06
Turkish,6.847289021330675e-07
Hungarian,6.847289021330675e-07
Finnish,6.847289021330675e-07
Albanian,6.847289021330675e-07
Farsi,6.847289021330675e-07
Czech,6.847289021330675e-07
Vietnamese,6.847289021330675e-07
Urdu,6.847289021330675e-07
